wavelength	taustar	t_lower_error	t_upper_error	Ro	Ro_lower_error	Ro_upper_error	norm	norm_lower_error	norm_upper_error	line
5.039		0.12	0.08		0.11		1.48	0.05		0.06		3.28E-5	0.10E-5			0.10E-5			SXV(He-like)
6.182 		0.55	0.14		0.17		1.34	0.05		0.05		1.06E-5	0.04E-5			0.04E-5			SiXIV
6.648 		0.66	0.05		0.06		1.60	0.02		0.02		1.54E-4	0.01E-4			0.01E-4 		SiXIII(He-like)
8.421 		1.01	0.11		0.12		1.54	0.04		0.04		3.95E-5	0.08E-5			0.08E-5			MgXII
9.169 		0.80	0.07		0.07		1.77	0.03		0.03		2.35E-4	0.03E-4			0.03E-4			MgXI(He-like)
10.239		2.59	0.16		0.19		1.01	0.01		0.41		4.13E-5	0.14E-5			0.15E-5			NeX
11.544 		1.54	0.25		0.29		1.73	0.11		0.10		7.44E-5	0.24E-5			0.25E-5			NeIX
12.134 		3.10	0.12		0.13		1.01	0.01		0.18		3.01E-4	0.05E-4			0.06E-4			NeX
15.014 		2.40	0.30		0.34		1.87	0.16		0.14		6.02E-4	0.15E-4			0.15E-4			FeXVII
16.780		3.87	0.65		0.73		1.46	0.46		0.22		3.24E-4	0.18E-4			0.17E-4			FeXVII
